board,lighting,surface,sensor,Vmax_V,Vmin_V,Vpp_V
L,off,black,Q1,0.532,0.0295,0.5025
L,off,black,Q2,0.4818,0.0195,0.4623
L,off,black,Q3,0.6225,0.0597,0.5628
L,off,black,Q4,0.7682,0.0999,0.6683
L,off,black,Q5,0.4617,0.0195,0.4422
L,off,black,Q6,0.4768,0.0245,0.4523
L,off,white,Q1,1.9089,0.0999,1.809
L,off,white,Q2,1.6878,0.0798,1.608
L,off,white,Q3,2.331,0.1401,2.191
L,off,white,Q4,2.8084,0.2205,2.5879
L,off,white,Q5,1.6878,0.0999,1.5879
L,off,white,Q6,1.7883,0.0798,1.7085
R,off,black,Q1,0.331,0.0195,0.3116
R,off,black,Q2,0.2506,-0.0006,0.2513
R,off,black,Q3,0.3813,0.0195,0.3618
R,off,black,Q4,0.4667,0.0597,0.407
R,off,black,Q5,0.2808,-0.0006,0.2814
R,off,black,Q6,0.2758,-0.0006,0.2764
R,off,white,Q1,1.1451,0.0597,1.0854
R,off,white,Q2,0.924,0.0396,0.8844
R,off,white,Q3,1.3461,0.0798,1.2663
R,off,white,Q4,1.6778,0.1401,1.5377
R,off,white,Q5,1.0044,0.0396,0.9648
R,off,white,Q6,1.0597,0.0295,1.0302
