R_kohm,condition,V_max_V,V_min_V,V_mean_V,V_pkpk_V,I_implied_uA,scope_freq_readout_Hz,notes,,R_kohm,White V_pkpk (V),Black V_pkpk (V),White V_mean (V),Black V_mean (V),White/Black swing ratio,,R_kohm,White V_mean (V),Black V_mean (V)
10,white,1.025,0.373,0.699,0.65,69.9,120.43,,,10,0.65,0.23,0.699,0.595,2.83x,,10,0.699,0.595
10,black,0.711,0.478,0.595,0.23,59.5,119.62,,,22,1.25,0.41,1.627,1.27,3.05x,,22,1.627,1.27
22,white,2.255,1,1.627,1.25,74,120.38,,,33,1.63,0.5,2.455,1.815,3.26x,,33,2.455,1.815
22,black,1.475,1.065,1.27,0.41,57.7,87.36,,,47,1.93,0.54,3.275,2.5,3.57x,,47,3.275,2.5
33,white,3.27,1.64,2.455,1.63,74.4,119.55,,,56,1.85,0.56,3.695,2.89,3.30x,,56,3.695,2.89
33,black,2.07,1.56,1.815,0.5,55,82.89,,,60,1.47,0.6,4.065,3.39,2.45x,,60,4.065,3.39
47,white,4.24,2.31,3.275,1.93,69.7,153.6,,,,,,,,,,,,
47,black,2.77,2.23,2.5,0.54,53.2,121.55,,,,,,,,,,,,
56,white,4.62,2.77,3.695,1.85,66,120.77,,,,,,,,,,,,
56,black,3.17,2.61,2.89,0.56,51.6,120.24,,,,,,,,,,,,
60,white,4.8,3.33,4.065,1.47,67.8,120.19,,,,,,,,,,,,
60,black,3.69,3.09,3.39,0.6,56.5,65.644,,,,,,,,,,,,
