session,R_kohm,condition,V_max_V,V_min_V,V_mean_V,V_pkpk_V,I_implied_uA,scope_freq_readout_Hz,ambient_light,notes,,,,,,,
S2_high_ambient_pedestal,10k,white,1.025,0.373,0.699,0.65,69.9,120.43,high,freq digits partly illegible on screen,,,,,,,
S2_high_ambient_pedestal,10k,black,0.711,0.478,0.595,0.23,59.5,119.62,high,,,,,,,,
S2_high_ambient_pedestal,22k,white,2.255,1,1.627,1.25,74,120.38,high,,,,,,,,
S2_high_ambient_pedestal,22k,black,1.475,1.065,1.27,0.41,57.7,87.36,high,freq counter unreliable (noise),,,,,,,
S2_high_ambient_pedestal,33k,white,3.27,1.64,2.455,1.63,74.4,119.55,high,,,,,,,,
S2_high_ambient_pedestal,33k,black,2.07,1.56,1.815,0.5,55,82.89,high,freq counter unreliable (noise),,,,,,,
S2_high_ambient_pedestal,47k,white,4.24,2.31,3.275,1.93,69.7,153.6,high,freq counter outlier,,,,,,,
S2_high_ambient_pedestal,47k,black,2.77,2.23,2.5,0.54,53.2,121.55,high,,,,,,,,
S2_high_ambient_pedestal,56k,white,4.62,2.77,3.695,1.85,66,120.77,high,peak compression begins (V_CE low at peaks),,,,,,,
S2_high_ambient_pedestal,56k,black,3.17,2.61,2.89,0.56,51.6,120.24,high,,,,,,,,
S2_high_ambient_pedestal,60k,white,4.8,3.33,4.065,1.47,67.8,120.19,high,peaks near rail - clipping,,,,,,,
S2_high_ambient_pedestal,60k,black,3.69,3.09,3.39,0.6,56.5,65.64,high,freq counter unreliable (noise),,,,,,,
S3_low_ambient_baseline,10k,white,0.654,0.011,0.333,0.64,33.3,119.89,low,,,,,,,,
S3_low_ambient_baseline,10k,black,0.22,-0.005,0.107,0.23,10.7,215.44,low,freq counter unreliable (noise),,,,,,,
S3_low_ambient_baseline,22k,white,1.362,0.091,0.727,1.27,33,98.38,low,,,,,,,,
S3_low_ambient_baseline,22k,black,0.373,0.043,0.208,0.33,9.5,190.84,low,freq counter unreliable (noise),,,,,,,
S3_low_ambient_baseline,33k,white,1.81,0.14,0.975,1.67,29.5,120.01,low,,,,,,,,
S3_low_ambient_baseline,33k,black,0.52,0.06,0.29,0.46,8.8,120.34,low,,,,,,,,
S3_low_ambient_baseline,47k,white,2.47,0.28,1.375,2.19,29.3,98.34,low,,,,,,,,
S3_low_ambient_baseline,47k,black,0.68,0.12,0.4,0.56,8.5,60,low,,,,,,,,
S3_low_ambient_baseline,56k,white,2.93,0.4,1.665,2.53,29.7,154.65,low,,,,,,,,
S3_low_ambient_baseline,56k,black,0.14,0.02,0.08,0.12,1.4,low signal,low,OUTLIER - scope reported Low signal; suspect covered sensor or different spot - re-measure,,,,,,,
S3_low_ambient_baseline,68k,white,2.97,0.4,1.685,2.57,28.1,98.11,low,,,,,,,,
S3_low_ambient_baseline,68k,black,0.3,0.16,0.23,0.14,3.8,286.7,low,OUTLIER - well below 22-47k black trend - re-measure,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
HIGH AMBIENT LIGHT — S2_high_ambient_pedestal,,,,,,,,,,,,,,,,,
Ambient tag:,high,,,,,,,,,,,,,,,,
,V_mean (V),,Contrast,,V_pk-pk (V),,,,,,,,condition ?,white,black,white,black
R_sh (k?),white,black,? (W?B),W/B ratio,white,black,Notes,,,,,,ambient ?,high,high,low,low
10k,0.699,0.595,0.104,1.17x,0.65,0.23,,,,,,,R_sh (k?),White – high ambient,Black – high ambient,White – low ambient,Black – low ambient
22k,1.627,1.27,0.357,1.28x,1.25,0.41,,,,,,,10k,0.699,0.595,0.333,0.107
33k,2.455,1.815,0.64,1.35x,1.63,0.5,,,,,,,22k,1.627,1.27,0.727,0.208
47k,3.275,2.5,0.775,1.31x,1.93,0.54,,,,,,,33k,2.455,1.815,0.975,0.29
56k,3.695,2.89,0.805,1.28x,1.85,0.56,peak compression begins (V_CE low at peaks),,,,,,47k,3.275,2.5,1.375,0.4
68k,4.065,3.39,0.675,1.20x,1.47,0.6,peaks near rail – clipping,,,,,,56k,3.695,2.89,1.665,0.08
,,,,,,,,,,,,,68k,4.065,3.39,1.685,0.23
,,,,,,,,,,,,,,,,,
LOW AMBIENT LIGHT — S3_low_ambient_baseline,,,,,,,,,,,,,,,,,
Ambient tag:,low,,,,,,,,,,,,,,,,
,V_mean (V),,Contrast,,V_pk-pk (V),,,,,,,,,,,,
R_sh (k?),white,black,? (W?B),W/B ratio,white,black,Notes,,,,,,,,,,
10k,0.333,0.107,0.226,3.11x,0.64,0.23,,,,,,,,,,,
22k,0.727,0.208,0.519,3.50x,1.27,0.33,,,,,,,,,,,
33k,0.975,0.29,0.685,3.36x,1.67,0.46,,,,,,,,,,,
47k,1.375,0.4,0.975,3.44x,2.19,0.56,,,,,,,,,,,
56k,1.665,0.08,1.585,20.81x,2.53,0.12,"black OUTLIER – scope ""low signal"", re-measure",,,,,,,,,,
68k,1.685,0.23,1.455,7.33x,2.57,0.14,"black OUTLIER – below trend, re-measure",,,,,,,,,,
